Hovedtypegruppe;Prosedyrekategori;Hovedtype;Grunntype;Grunntypenavn;Kode
M;A;01;01;svært og temmelig beskyttet fast saltvannsbunn;M-A-01-01
M;A;01;02;sagtangbunn;M-A-01-02
M;A;01;03;fingertareskog;M-A-01-03
M;A;01;04;fast bunn med filamentøse alger;M-A-01-04
M;A;01;05;sukkertareskog;M-A-01-05
M;A;01;06;stortareskog;M-A-01-06
M;A;01;07;butareskog;M-A-01-07
M;A;01;08;svært eksponert fast bunn;M-A-01-08
M;A;01;09;beskyttet rødalgebunn;M-A-01-09
M;A;01;10;eksponert rødalgebunn;M-A-01-10
M;A;01;11;eksponert rødalgebunn;M-A-01-11
M;A;01;12;beskyttet vegg ovenfor rødalgebeltet;M-A-01-12
M;A;01;13;beskyttet vegg i rødalgebeltet;M-A-01-13
M;A;01;14;moderat eksponert vegg ovenfor rødalgebeltet;M-A-01-14
M;A;01;15;moderat eksponert vegg i rødalgebeltet;M-A-01-15
M;A;01;16;eksponert vegg;M-A-01-16
M;A;01;17;moderat eksponert fast bunn med store hulrom ovenfor rødalgebeltet;M-A-01-17
M;A;01;18;moderat eksponert fast bunn med store hulrom i rødalgebeltet;M-A-01-18
M;A;01;19;eksponert fast bunn med store hulrom;M-A-01-19
M;A;01;20;fast bunn preget av disruptiv isforstyrrelse;M-A-01-20
M;A;03;01;grisetang-bunn;M-A-03-01
M;A;03;02;grønnalge-spiraltangbunn;M-A-03-02
M;A;03;03;grønnalge-rurbunn;M-A-03-03
M;A;03;04;blæretang-bunn;M-A-03-04
M;A;03;05;spiraltang-bunn;M-A-03-05
M;A;03;06;sauetang-blåskjell-rurbunn;M-A-03-06
M;A;03;07;remtang-bunn;M-A-03-07
M;A;03;08;strandsnegl-blåskjellbunn;M-A-03-08
M;A;03;09;strandsnegl-blåskjell-rurbunn;M-A-03-09
M;A;03;10;bunn dominert av filamentøse alger;M-A-03-10
M;C;01;01;lurvbunn i brakkvann;M-C-01-01
M;C;01;02;brakkvannsparallell til sagtangbunn;M-C-01-02
M;C;01;03;brakkvannsparallell til fingertareskog;M-C-01-03
M;C;01;04;brakkvannsparallell til sukkertareskog;M-C-01-04
M;C;01;05;brakkvannsparallell til stortareskog;M-C-01-05
M;C;01;06;brakkvannsparallell til rødalgebunn;M-C-01-06
M;C;01;07;lurvbunn i svært brakt vann;M-C-01-07
M;C;01;08;moderat eksponert fast bunn i svært brakt vann;M-C-01-08
M;C;01;09;beskyttet vegg i brakkvann;M-C-01-09
M;C;01;10;moderat eksponert vegg i brakkvann ovenfor rødalgebeltet;M-C-01-10
M;C;01;11;moderat eksponert vegg i brakkvann i rødalgebeltet;M-C-01-11
M;C;01;12;vegg i svært brakt vann;M-C-01-12
M;C;01;13;fast bunn preget av disruptiv isforstyrrelse;M-C-01-13
T;E;01;01;embryonal- og primærdyne;T-E-01-01
T;E;01;02;kvit dyne;T-E-01-02
T;E;01;03;grå dyne;T-E-01-03
T;E;01;04;brun dyne;T-E-01-04
T;E;01;05;dynehei;T-E-01-05
T;E;01;06;primær og kvit innlandsdyne;T-E-01-06
T;E;01;07;grå og brun innlandsdyne;T-E-01-07
T;E;01;08;erodert dyne;T-E-01-08
T;E;01;09;dynetrau;T-E-01-09
T;E;02;01;leir- og siltskred;T-E-02-01
T;E;02;02;sandskred;T-E-02-02
T;E;02;03;grusskred;T-E-02-03
T;E;06;01;beskyttet (høgurt-)driftvoll;T-E-06-01
T;E;06;02;litt eksponert (lågurt-)driftvoll;T-E-06-02
T;E;06;03;eksponert (ettårs-)driftvoll;T-E-06-03
T;E;06;04;vegetasjonsfri driftvoll;T-E-06-04
T;E;06;05;brakkvannsdriftvoll;T-E-06-05
T;F;01;01;sandskogsmark;T-F-01-01
T;F;01;02;dyneskogsmark;T-F-01-02
MS;0;01;01;hardbunn i marine systemer;MS-0-01-01
MS;0;02;01;på bløtbunn i marine systemer;MS-0-02-01
MS;0;02;02;i bløtbunn i marine systemer;MS-0-02-02
MS;0;03;01;på biogene karbonatsubstrater fra døde organismer;MS-0-03-01
MS;0;03;02;i biogene karbonatsubstrater fra døde organismer;MS-0-03-02
MS;0;04;01;nærmiljørundt levende steinkoraller;MS-0-04-01
MS;0;04;02;nærmiljø rundt andre organismer med kalkskall enn steinkoraller;MS-0-04-02
MS;0;04;03;kalkskall på levende organismer med karbonatsubstrater;MS-0-04-03
MS;0;04;04;indre vev i steinkoraller;MS-0-04-04
MS;0;04;05;indre vev i andre fastsittende organismer enn steinkoraller;MS-0-04-05
MS;0;04;06;indre vev i bevegelige organismer med kalkskall;MS-0-04-06
MS;0;05;01;på marine alger;MS-0-05-01
MS;0;05;02;i marine alger;MS-0-05-02
MS;0;05;03;på marine karplanter;MS-0-05-03
MS;0;05;04;i marine karplanter;MS-0-05-04
MS;0;06;01;ytre vev hos marine vertebrater;MS-0-06-01
MS;0;06;02;indre vev hos marine vertebrater;MS-0-06-02
MS;0;06;03;ytre vev hos marine invertebrater uten kalkskjelett;MS-0-06-03
MS;0;06;04;indre vev hos marine invertebrater uten kalkskjelett;MS-0-06-04
MS;0;07;01;vedrester;MS-0-07-01
MS;0;07;02;dødt plantemateriale i marine systemer;MS-0-07-02
MS;0;08;01;døde dyr i marine systemer;MS-0-08-01
MS;0;09;01;syntetiske livsmedier i marine systemer;MS-0-09-01
MU;0;01;01;substratfrie livsmedier i marine systemer;MU-0-01-01
FS;0;01;01;hardbunn i ferskvann;FS-0-01-01
FS;0;02;01;på bløtbunn i ferskvann;FS-0-02-01
FS;0;02;02;i bløtbunn i ferskvann;FS-0-02-02
FS;0;03;01;på ferskvannsalger;FS-0-03-01
FS;0;03;02;i ferskvannsalger;FS-0-03-02
FS;0;03;03;på ferskvannskarplanter og -moser;FS-0-03-03
FS;0;03;04;i ferskvannskarplanter og -moser;FS-0-03-04
FS;0;04;01;ytre vev hos ferskvannsvertebrater;FS-0-04-01
FS;0;04;02;indre vev hos ferskvannsvertebrater;FS-0-04-02
FS;0;04;03;ytre vev hos ferskvannsinvertebrater;FS-0-04-03
FS;0;04;04;indre vev hos ferskvannsinvertebrater;FS-0-04-04
FS;0;05;01;myrtorv;FS-0-05-01
FS;0;05;02;dy og gyttje;FS-0-05-02
FS;0;05;03;vedrester;FS-0-05-03
FS;0;05;04;døde planter;FS-0-05-04
FS;0;05;05;døde dyr;FS-0-05-05
FS;0;06;01;syntetiske livsmedier i ferskvann;FS-0-06-01
U;0;01;01;substratfrie livsmedier i ferskvann;U-0-01-01
TS;0;01;01;grovere uorganiske substrater på land;TS-0-01-01
TS;0;02;01;på finere uorganiske substrater på land;TS-0-02-01
TS;0;02;02;i finere uorganiske substrater på land;TS-0-02-02
TS;0;03;01;på råhumus;TS-0-03-01
TS;0;03;02;i råhumus;TS-0-03-02
TS;0;03;03;på torv;TS-0-03-03
TS;0;03;04;i torv;TS-0-03-04
TS;0;03;05;på eller i flytjord;TS-0-03-05
TS;0;04;01;på levende, ikke forvedete planter på land;TS-0-04-01
TS;0;04;02;på røtter av levende, ikke forvedete planter på land;TS-0-04-02
TS;0;04;03;i levende, ikke forvedete planter på land;TS-0-04-03
TS;0;05;01;på bladverk, nåleverk og reproduktive deler av levende forvedete planter på land;TS-0-05-01
TS;0;05;02;i bladverk, nåleverk og reproduktive deler av levende forvedete planter på land;TS-0-05-02
TS;0;06;01;i levende og nylig død ved;TS-0-06-01
TS;0;06;02;i stående død ved;TS-0-06-02
TS;0;06;03;i stubbe eller liggende død ved;TS-0-06-03
TS;0;06;04;på eller i bark;TS-0-06-04
TS;0;06;05;i hulhet i tre;TS-0-06-05
TS;0;06;06;i vedboende sopp;TS-0-06-06
TS;0;06;07;i sevjeutflod;TS-0-06-07
TS;0;06;08;i sterkt modifisert ved innendørs (M);TS-0-06-08
TS;0;06;09;i sterkt modifisert ved utendørs (M);TS-0-06-09
TS;0;06;10;tømmeropplag (M);TS-0-06-10
TS;0;06;11;rekved (M);TS-0-06-11
TS;0;06;12;barkhaug (M);TS-0-06-12
TS;0;06;13;sagflishaug (M);TS-0-06-13
TS;0;06;14;annet hogstavfall enn bark og sagflis (M);TS-0-06-14
TS;0;07;01;muggliknende sopp;TS-0-07-01
TS;0;07;02;pulver- og flekkdannende sopp;TS-0-07-02
TS;0;07;03;fruktlegemer med løst vev, inkludert jordboende sopp;TS-0-07-03
TS;0;07;04;underjordiske myceler;TS-0-07-04
TS;0;07;05;lav og andre tørre, langlevete sopp;TS-0-07-05
TS;0;08;01;i ytre vev, hos levende vertebrater;TS-0-08-01
TS;0;08;02;i indre vev hos levende vertebrater;TS-0-08-02
TS;0;08;03;i ytre vev hos levende invertebrater;TS-0-08-03
TS;0;08;04;i indre vev hos levende invertebrater;TS-0-08-04
TS;0;08;05;i smågnagerbo og -ganger;TS-0-08-05
TS;0;08;06;i bo av (øvrige) pattedyr;TS-0-08-06
TS;0;08;07;fuglereir;TS-0-08-07
TS;0;08;08;maurtue og -bo;TS-0-08-08
TS;0;08;09;vepse- og humlebol;TS-0-08-09
TS;0;08;10;bikube (M);TS-0-08-10
TS;0;09;01;strøfall;TS-0-09-01
TS;0;09;02;dødt plantemateriale i fjæresonen;TS-0-09-02
TS;0;09;03;dødt plantemateriale i flomsonen;TS-0-09-03
TS;0;09;04;kompost (M);TS-0-09-04
TS;0;09;05;tørket plantemateriale (M);TS-0-09-05
TS;0;09;06;matvarer og organisk avfall innendørs (M);TS-0-09-06
TS;0;10;01;åtsler;TS-0-10-01
TS;0;10;02;bein og horn;TS-0-10-02
TS;0;10;03;tørre rester etter døde dyr;TS-0-10-03
TS;0;10;04;utstoppete dyr (M);TS-0-10-04
TS;0;10;05;insektsamlinger (M);TS-0-10-05
TS;0;10;06;avfallshauger med animalske rester (M);TS-0-10-06
TS;0;10;07;tørket bein- og hornmateriale (M);TS-0-10-07
TS;0;10;08;annet avfall av animalsk opprinnelse (M);TS-0-10-08
TS;0;11;01;pattedyrmøkk;TS-0-11-01
TS;0;11;02;fuglegjødsel;TS-0-11-02
TS;0;12;01;syntetiske livsmedier på land;TS-0-12-01
TU;0;01;01;snø;TU-0-01-01
TU;0;01;02;is;TU-0-01-02
TU;0;02;01;luft;TU-0-02-01
