M005-kode;M005-navn
NiN-3.0-T-C-PE-NA-MB-IA01-M005-01;varig snø
NiN-3.0-T-C-PE-NA-MB-IA01-M005-02;jevn breoverflate
NiN-3.0-T-C-PE-NA-MB-IA01-M005-03;kryokonitt-preget breoverflate
NiN-3.0-T-C-PE-NA-MB-IA01-M005-04;polar havis-overside
NiN-3.0-T-C-PE-NA-MB-LA01-M005-01;svært kalkfattig og beskyttet fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-02;svært kalkfattig og eksponert fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-03;svært kalkfattig beskyttet grunn fast innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-04;noe kalkfattig og beskyttet fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-05;noe kalkfattig og eksponert fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-06;noe kalkfattig beskyttet grunn fast innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-07;moderat kalkrik og beskyttet fast strandkant-innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LA01-M005-08;moderat kalkrik og eksponert fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-09;moderat kalkrik beskyttet grunn fast innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-10;svært kalkrik og beskyttet fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-11;svært kalkrik og eksponert fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-12;svært kalkrik beskyttet grunn fast innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M005-13;turbid eufotisk fast innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA02-M005-01;svært kalkfattig innsjø-sedimentbunn av silt til sand i strandkant
NiN-3.0-T-C-PE-NA-MB-LA02-M005-02;noe kalkfattig innsjø-sedimentbunn av silt til sand i strandkant
NiN-3.0-T-C-PE-NA-MB-LA02-M005-03;svært kalkfattig innsjø-sedimentbunn av silt til sand i plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M005-04;noe kalkfattig innsjø-sedimentbunn av silt til sand i plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M005-05;svært kalkfattig innsjø-sedimentbunn av grus til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M005-06;noe kalkfattig innsjø-sedimentbunn av grus til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M005-07;kalkfattig innsjø-sedimentbunn av blokker i strandkant og karplantebeltet
