M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-IA01-M050-01;åker;IA01-M050-01
NiN-3.0-T-C-PE-NA-MB-IA01-M050-02;åpen flomfastmark;IA01-M050-02
NiN-3.0-T-C-PE-NA-MB-LA01-M050-01;havis-overflate-innsjøbunn;LA01-M050-01
NiN-3.0-T-C-PE-NA-MB-LA01-M050-02;havis-underside;LA01-M050-02
NiN-3.0-T-C-PE-NA-MB-LA01-M050-03;havtilknyttet korallrev-bunn;LA01-M050-03
NiN-3.0-T-C-PE-NA-MB-LA01-M050-04;hevet grus-, stein- og blokkstrand;LA01-M050-04
NiN-3.0-T-C-PE-NA-MB-LA01-M050-05;historisk jordskred;LA01-M050-05
NiN-3.0-T-C-PE-NA-MB-LA02-M050-01;historisk silt- og leirskred;LA02-M050-01
NiN-3.0-T-C-PE-NA-MB-LA02-M050-02;historisk skred av sand og grus;LA02-M050-02
NiN-3.0-T-C-PE-NA-MB-LA02-M050-03;historisk steinskred;LA02-M050-03
NiN-3.0-T-C-PE-NA-MB-LA02-M050-04;innlands-sanddynemark;LA02-M050-04
NiN-3.0-T-C-PE-NA-MB-LA02-M050-05;innsjøbunn av grovt organisk materiale;LA02-M050-05
NiN-3.0-T-C-PE-NA-MB-LA02-M050-07;innsjøbunn med periodisk oksygenmangel;LA02-M050-07
NiN-3.0-T-C-PE-NA-MB-LA03-M050-01;innsjø-sedimentbunn betinget av naturlig gjødsling;LA03-M050-01
NiN-3.0-T-C-PE-NA-MB-LA03-M050-02;intermediær til litt kalkrik isinnfrysingsmark;LA03-M050-02
NiN-3.0-T-C-PE-NA-MB-LA03-M050-03;kald havkilde i atlantisk vann;LA03-M050-03
NiN-3.0-T-C-PE-NA-MB-LB01-M050-01;kald havkilde i dyphavsvann;LB01-M050-01
NiN-3.0-T-C-PE-NA-MB-LB01-M050-02;kald havkilde i intermediært vann;LB01-M050-02
NiN-3.0-T-C-PE-NA-MB-LB01-M050-03;kalkfattig dy- og gytjebunn i elv;LB01-M050-03
NiN-3.0-T-C-PE-NA-MB-LB02-M050-01;kalkfattig helofytt-ferskvannssump;LB02-M050-01
NiN-3.0-T-C-PE-NA-MB-LB02-M050-02;kalkfattig innsjøbunn av dy og gytje;LB02-M050-02
NiN-3.0-T-C-PE-NA-MB-LB02-M050-03;kalkfattig isinnfrysingsmark;LB02-M050-03
NiN-3.0-T-C-PE-NA-MB-LC01-M050-01;kalkfattig kronisk fysisk forstyrret elvebunn;LC01-M050-01
NiN-3.0-T-C-PE-NA-MB-LC02-M050-01;kalkfattig kronisk fysisk forstyrret innsjøbunn;LC02-M050-01
NiN-3.0-T-C-PE-NA-MB-LC02-M050-02;kalkfattig ny innsjøbunn fra elvebunn;LC02-M050-02
NiN-3.0-T-C-PE-NA-MB-LC03-M050-01;kalkfattig ny innsjøbunn fra våtmarkssystemer;LC03-M050-01
NiN-3.0-T-C-PE-NA-MB-LC04-M050-01;kalkfattig sterk ferskvannskildebunn;LC04-M050-01
NiN-3.0-T-C-PE-NA-MB-LC04-M050-02;kalkfattig sterk ferskvannskildebunn;LC04-M050-02
NiN-3.0-T-C-PE-NA-MB-LC05-M050-01;kalkfattig svak ferskvannskildebunn;LC05-M050-01
NiN-3.0-T-C-PE-NA-MB-LC05-M050-02;kalkfattig svak ferskvannskildebunn;LC05-M050-02
NiN-3.0-T-C-PE-NA-MB-LC06-M050-01;kalkfattig- til intermediær skog;LC06-M050-01
NiN-3.0-T-C-PE-NA-MB-LG01-M050-01;kalkfattig til litt kalkrik arktisk-alpin grasmark;LG01-M050-01
NiN-3.0-T-C-PE-NA-MB-LJ01-M050-01;kalkfattig til litt kalkrik arktisk-alpin hei og leside;LJ01-M050-01
NiN-3.0-T-C-PE-NA-MB-LM01-M050-01;kalkfattig til litt kalkrik avskoget hei og eng;LM01-M050-01
NiN-3.0-T-C-PE-NA-MB-LM02-M050-01;kalkfattig til litt kalkrik bakli-hei  og kystlynghei;LM02-M050-01
NiN-3.0-T-C-PE-NA-MB-LM02-M050-02;kalkfattig til litt kalkrik grotte og overheng;LM02-M050-02
NiN-3.0-T-C-PE-NA-MB-LM03-M050-01;kalkfattig til litt kalkrik ny eng med semi-naturlig preg;LM03-M050-01
NiN-3.0-T-C-PE-NA-MB-LM03-M050-02;kalkfattig til litt kalkrik oppfrysingsmark;LM03-M050-02
NiN-3.0-T-C-PE-NA-MB-LM04-M050-01;kalkfattig til litt kalkrik rabbe;LM04-M050-01
NiN-3.0-T-C-PE-NA-MB-LM04-M050-02;kalkfattig til litt kalkrik rasmark;LM04-M050-02
NiN-3.0-T-C-PE-NA-MB-LM05-M050-01;kalkfattig til litt kalkrik rasmarkeng og -hei;LM05-M050-01
NiN-3.0-T-C-PE-NA-MB-LM05-M050-02;kalkfattig til litt kalkrik åpen grunnlendt mark;LM05-M050-02
NiN-3.0-T-C-PE-NA-MB-LM05-M050-03;kalkfattig til litt kalkrikt moderat til ekstremt snøleie;LM05-M050-03
NiN-3.0-T-C-PE-NA-MB-LM05-M050-04;kalkfattig til svakt kalkrik åpen semi-naturlig eng;LM05-M050-04
NiN-3.0-T-C-PE-NA-MB-MA01-M050-01; eufotisk saltvanns-sedimentbunn av leire, silt dy- og gytje eller myrtorv;MA01-M050-01
NiN-3.0-T-C-PE-NA-MB-MA02-M050-01;afotisk fastbunn i arktisk vann;MA02-M050-01
NiN-3.0-T-C-PE-NA-MB-MA02-M050-02;afotisk fastbunn i atlantisk vann;MA02-M050-02
NiN-3.0-T-C-PE-NA-MB-MA03-M050-01;afotisk fastbunn i dyphavsvann;MA03-M050-01
NiN-3.0-T-C-PE-NA-MB-MA03-M050-02;afotisk fastbunn i kystvann;MA03-M050-02
NiN-3.0-T-C-PE-NA-MB-MA03-M050-03;afotisk finmaterialfattig til noe -rik uorganisk sedimentbunn i arktisk vann;MA03-M050-03
