GTKode;Varkode2;Trinn;Definisjonsgrunnlag
I-0-01-001;RA;RA-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;VE;VE-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;JB;JB-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;JB;JB-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-002;RA;RA-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;VE;VE-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;JB;JB-b;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-003;RA;RA-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;VE;VE-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;AI;AI-b;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;JB;JB-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;JB;JB-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-004;RA;RA-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;VE;VE-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;AI;AI-b;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;JB;JB-b;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-005;RA;RA-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;VE;VE-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;AI;AI-c;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;JB;JB-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;JB;JB-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-006;RA;RA-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;VE;VE-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;AI;AI-c;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;JB;JB-b;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-007;RA;RA-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;BP;BP-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;BP;BP-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;VE;VE-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;AI;AI-d;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;JB;JB-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;JB;JB-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-008;RA;RA-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;BP;BP-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;BP;BP-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;VE;VE-b;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;AI;AI-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;AI;AI-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;JB;JB-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;JB;JB-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-009;RA;RA-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
