Hovedtypegruppe;Prosedyrekategori;Hovedtype;Grunntype;Grunntypenavn;Kode
I;0;01;001;dalformet lavlands-åslandskap;I-0-01-001
I;0;01;002;dalformet lavlands-åslandskap med jordbruk;I-0-01-002
I;0;01;003;dalformet lavlands-åslandskap med bygd/bebyggelse;I-0-01-003
I;0;01;004;dalformet lavlands-åslandskap med jordbruksbygd;I-0-01-004
I;0;01;005;dalformet lavlands-åslandskap med tettsted/småby;I-0-01-005
I;0;01;006;dalformet lavlands-åslandskap med småby og jordbruk;I-0-01-006
I;0;01;007;dalformet lavlands-åslandskap med storby;I-0-01-007
I;0;01;008;dalformet hei- og fjellskogs-landskap;I-0-01-008
I;0;01;009;dalformet hei- og fjellskogs-landskap med jordbruk;I-0-01-009
I;0;01;010;dalformet hei- og fjellskogs-landskap med bygd/bebyggelse;I-0-01-010
I;0;01;011;dalformet fjellheilandskap;I-0-01-011
I;0;01;012;dalformet snaufjellslandskap;I-0-01-012
I;0;01;013;dalformet snaufjellslandskap med isbre;I-0-01-013
I;0;01;014;slakt lavlands-åslandskap ;I-0-01-014
I;0;01;015;slakt lavlands-åslandskap med skog og jordbruk;I-0-01-015
I;0;01;016;slakt lavlands-åslandskap med bygd/bebyggelse;I-0-01-016
I;0;01;017;slakt lavlands-åslandskap med jordbruksbygd;I-0-01-017
I;0;01;018;slakt lavlands-åslandskap med tettsted/småby;I-0-01-018
I;0;01;019;slakt lavlands-åslandskap med tettsted/småby og jordbruk;I-0-01-019
I;0;01;020;slakt lavlands-åslandskap med storby;I-0-01-020
I;0;01;021;slakt hei- og fjellskogs-landskap;I-0-01-021
I;0;01;022;slakt hei- og fjellskogs-landskap med bygd/bebyggelse;I-0-01-022
I;0;01;023;slakt fjellheilandskap;I-0-01-023
I;0;01;024;slak fjellheilandskap med bygd/bebyggelse;I-0-01-024
I;0;01;025;slakt snaufjellslandskap;I-0-01-025
I;0;01;026;slakt snaufjellslandskap med isbre;I-0-01-026
I;0;01;027;småkupert lavlands-åslandskap;I-0-01-027
I;0;01;028;småkupert lavlands-åslandskap med jordbruk;I-0-01-028
I;0;01;029;småkupert lavlands-åslandskap med bygd/bebyggelse;I-0-01-029
I;0;01;030;småkupert lavlands-åslandskap med jordbruksbygd;I-0-01-030
I;0;01;031;småkupert lavlands-åslandskap med tettsted/småby;I-0-01-031
I;0;01;032;småkupert lavlands-åslandskap med tettsted/småby og jordbruk;I-0-01-032
I;0;01;033;småkupert hei- og fjellskogs-landskap;I-0-01-033
