Hovedtype;Prosedyrekategori;Hovedtypegruppe;Hovedtypenavn;Kode
0;0;A; ;A-0-0
0;0;B; ;B-0-0
0;0;C; ;C-0-0
0;0;D; ;D-0-0
0;0;E; ;E-0-0
0;0;F; ;F-0-0
0;0;G; ;G-0-0
0;0;H; ;H-0-0
0;0;I; ;I-0-0
0;0;J; ;J-0-0
0;0;K; ;K-0-0
0;0;L; ;L-0-0
0;0;M; ;M-0-0
0;0;N; ;N-0-0
0;0;O; ;O-0-0
0;0;P; ;P-0-0
10;0;TS;dødt animalsk materiale;TS-0-10
10;C;M;havis-underside;M-C-10
11;0;D;elvevoll;D-0-11
11;0;H;grunningssonekile;H-0-11
11;0;I;tidevannsslette;I-0-11
11;0;TS;dyremøkk og fuglegjødsel;TS-0-11
12;0;H;hengende dal;H-0-12
12;0;I;tombolo;I-0-12
12;0;TS;syntetiske livsmedier på land;TS-0-12
13;0;H;isfjellgrop;H-0-13
14;0;H;iskjernemorene;H-0-14
15;0;H;isfjellpløyespor;H-0-15
16;0;H;isskuringsstripe;H-0-16
17;0;H;jettegryte;H-0-17
18;0;H;knaus og hale;H-0-18
19;0;H;megaskala glasial lineasjon;H-0-19
20;0;H;morenehaug;H-0-20
21;0;H;murtoo-morene;H-0-21
22;0;H;plastisk form;H-0-22
23;0;H;randmorene;H-0-23
24;0;H;rogenmorene;H-0-24
25;0;H;rundsva;H-0-25
26;0;H;sprekkefyllrygg;H-0-26
27;0;H;tind;H-0-27
28;0;H;traumunningsvifte;H-0-28
29;0;H;U-dal;H-0-29
30;0;H;veikimorene;H-0-30
01;0;A;basseng i avsnørt havbukt;A-0-01
01;0;A;breelvdelta;A-0-01
01;0;A;brekappe;A-0-01
01;0;A;elveløp i fast fjell med foss;A-0-01
01;0;A;gjenvoksningsmyr;A-0-01
01;0;A;kystvann;A-0-01
01;0;B;jord- og steinskredbasseng;B-0-01
01;0;B;korallrev;B-0-01
01;0;B;slakmyr;B-0-01
01;0;B;stein- og blokkdominert fluvialt elveløp med kaskade- eller trappetrinnsmorfologi ;B-0-01
01;0;B;tidevannsbetinget fullsirkulerende fjordvann;B-0-01
01;0;C;basseng på bre;C-0-01
01;0;C;flomkanal fra bresjøtapping;C-0-01
01;0;C;stein- og blokkdominert glasifluvialt elveløp med kaskade- eller trappetrinnsmorfologi;C-0-01
01;0;C;torvkilde;C-0-01
01;0;D;elvebanke;D-0-01
01;0;D;elveløp gjennom leire;D-0-01
01;0;D;fjordsjøbasseng;D-0-01
01;0;D;innsjøflommyr;D-0-01
