hovedtypegruppe_kode;hovedtype_kode;grunntype_kode
0-A;A-0-0;A-0-0-0
0-A;A-0-01;A-0-01-0
0-A;A-0-02;A-0-02-0
0-A;A-0-03;A-0-03-0
0-A;A-0-04;A-0-04-0
0-A;A-0-05;A-0-05-0
0-B;B-0-0;B-0-0-0
0-B;B-0-01;B-0-01-0
0-B;B-0-02;B-0-02-0
0-B;B-0-03;B-0-03-0
0-B;B-0-04;B-0-04-0
0-B;B-0-05;B-0-05-0
0-B;B-0-06;B-0-06-0
0-B;B-0-07;B-0-07-0
0-FS;FS-0-0;FS-0-0-0
0-FS;FS-0-01;FS-0-01-0
0-FS;FS-0-01;FS-0-01-01
0-FS;FS-0-02;FS-0-02-0
0-FS;FS-0-02;FS-0-02-01
0-FS;FS-0-02;FS-0-02-02
0-FS;FS-0-03;FS-0-03-0
0-FS;FS-0-03;FS-0-03-01
0-FS;FS-0-03;FS-0-03-02
0-FS;FS-0-03;FS-0-03-03
0-FS;FS-0-03;FS-0-03-04
0-FS;FS-0-04;FS-0-04-0
0-FS;FS-0-04;FS-0-04-01
0-FS;FS-0-04;FS-0-04-02
0-FS;FS-0-04;FS-0-04-03
0-FS;FS-0-04;FS-0-04-04
0-FS;FS-0-05;FS-0-05-0
0-FS;FS-0-05;FS-0-05-01
0-FS;FS-0-05;FS-0-05-02
0-FS;FS-0-05;FS-0-05-03
0-FS;FS-0-05;FS-0-05-04
0-FS;FS-0-05;FS-0-05-05
0-FS;FS-0-06;FS-0-06-0
0-FS;FS-0-06;FS-0-06-01
0-FU;FU-0-0;FU-0-0-0
0-FU;FU-0-01;FU-0-01-0
0-MS;MS-0-0;MS-0-0-0
0-MS;MS-0-01;MS-0-01-0
0-MS;MS-0-01;MS-0-01-01
0-MS;MS-0-02;MS-0-02-0
0-MS;MS-0-02;MS-0-02-01
0-MS;MS-0-02;MS-0-02-02
0-MS;MS-0-03;MS-0-03-0
0-MS;MS-0-03;MS-0-03-01
0-MS;MS-0-03;MS-0-03-02
0-MS;MS-0-04;MS-0-04-0
0-MS;MS-0-04;MS-0-04-01
0-MS;MS-0-04;MS-0-04-02
0-MS;MS-0-04;MS-0-04-03
0-MS;MS-0-04;MS-0-04-04
0-MS;MS-0-04;MS-0-04-05
0-MS;MS-0-04;MS-0-04-06
0-MS;MS-0-05;MS-0-05-0
0-MS;MS-0-05;MS-0-05-01
0-MS;MS-0-05;MS-0-05-02
0-MS;MS-0-05;MS-0-05-03
0-MS;MS-0-05;MS-0-05-04
0-MS;MS-0-06;MS-0-06-0
0-MS;MS-0-06;MS-0-06-01
0-MS;MS-0-06;MS-0-06-02
0-MS;MS-0-06;MS-0-06-03
0-MS;MS-0-06;MS-0-06-04
0-MS;MS-0-07;MS-0-07-0
0-MS;MS-0-07;MS-0-07-01
0-MS;MS-0-07;MS-0-07-02
0-MS;MS-0-08;MS-0-08-0
0-MS;MS-0-08;MS-0-08-01
0-MS;MS-0-09;MS-0-09-0
0-MS;MS-0-09;MS-0-09-01
0-MU;MU-0-0;MU-0-0-0
0-MU;MU-0-01;MU-0-01-0
0-MU;MU-0-01;MU-0-01-01
0-TS;TS-0-0;TS-0-0-0
0-TS;TS-0-10;TS-0-10-0
0-TS;TS-0-10;TS-0-10-01
0-TS;TS-0-10;TS-0-10-02
0-TS;TS-0-10;TS-0-10-03
0-TS;TS-0-10;TS-0-10-04
0-TS;TS-0-10;TS-0-10-05
0-TS;TS-0-10;TS-0-10-06
0-TS;TS-0-10;TS-0-10-07
0-TS;TS-0-10;TS-0-10-08
0-TS;TS-0-11;TS-0-11-0
0-TS;TS-0-11;TS-0-11-01
0-TS;TS-0-11;TS-0-11-02
0-TS;TS-0-12;TS-0-12-0
0-TS;TS-0-12;TS-0-12-01
0-TS;TS-0-01;TS-0-01-0
0-TS;TS-0-01;TS-0-01-01
0-TS;TS-0-02;TS-0-02-0
0-TS;TS-0-02;TS-0-02-01
0-TS;TS-0-02;TS-0-02-02
0-TS;TS-0-03;TS-0-03-0
0-TS;TS-0-03;TS-0-03-01
0-TS;TS-0-03;TS-0-03-02
0-TS;TS-0-03;TS-0-03-03
0-TS;TS-0-03;TS-0-03-04
0-TS;TS-0-03;TS-0-03-05
0-TS;TS-0-04;TS-0-04-0
0-TS;TS-0-04;TS-0-04-01
0-TS;TS-0-04;TS-0-04-02
0-TS;TS-0-04;TS-0-04-03
0-TS;TS-0-05;TS-0-05-0
0-TS;TS-0-05;TS-0-05-01
0-TS;TS-0-05;TS-0-05-02
0-TS;TS-0-06;TS-0-06-0
0-TS;TS-0-06;TS-0-06-01
0-TS;TS-0-06;TS-0-06-02
0-TS;TS-0-06;TS-0-06-03
0-TS;TS-0-06;TS-0-06-04
0-TS;TS-0-06;TS-0-06-05
0-TS;TS-0-06;TS-0-06-06
0-TS;TS-0-06;TS-0-06-07
0-TS;TS-0-06;TS-0-06-08
0-TS;TS-0-06;TS-0-06-09
0-TS;TS-0-06;TS-0-06-10
0-TS;TS-0-06;TS-0-06-11
0-TS;TS-0-06;TS-0-06-12
0-TS;TS-0-06;TS-0-06-13
0-TS;TS-0-06;TS-0-06-14
0-TS;TS-0-07;TS-0-07-0
0-TS;TS-0-07;TS-0-07-01
0-TS;TS-0-07;TS-0-07-02
0-TS;TS-0-07;TS-0-07-03
0-TS;TS-0-07;TS-0-07-04
0-TS;TS-0-07;TS-0-07-05
0-TS;TS-0-08;TS-0-08-0
0-TS;TS-0-08;TS-0-08-01
0-TS;TS-0-08;TS-0-08-02
0-TS;TS-0-08;TS-0-08-03
0-TS;TS-0-08;TS-0-08-04
0-TS;TS-0-08;TS-0-08-05
0-TS;TS-0-08;TS-0-08-06
0-TS;TS-0-08;TS-0-08-07
0-TS;TS-0-08;TS-0-08-08
0-TS;TS-0-08;TS-0-08-09
0-TS;TS-0-08;TS-0-08-10
0-TS;TS-0-09;TS-0-09-0
0-TS;TS-0-09;TS-0-09-01
0-TS;TS-0-09;TS-0-09-02
0-TS;TS-0-09;TS-0-09-03
0-TS;TS-0-09;TS-0-09-04
0-TS;TS-0-09;TS-0-09-05
0-TS;TS-0-09;TS-0-09-06
0-TU;TU-0-0;TU-0-0-0
0-TU;TU-0-01;TU-0-01-0
0-TU;TU-0-01;TU-0-01-01
0-TU;TU-0-01;TU-0-01-02
0-TU;TU-0-02;TU-0-02-0
0-TU;TU-0-02;TU-0-02-01
0-U;U-0-01;U-0-01-01
BM-A;A-0-0;A-0-0-0
BM-A;A-0-01;A-0-01-0
BM-A;A-0-02;A-0-02-0
BM-A;A-0-03;A-0-03-0
BM-A;A-0-04;A-0-04-0
BM-A;A-0-05;A-0-05-0
BM-A;A-0-06;A-0-06-0
BM-A;A-0-07;A-0-07-0
BM-A;A-0-08;A-0-08-0
BM-A;A-0-09;A-0-09-0
EL-A;A-0-0;A-0-0-0
EL-A;A-0-01;A-0-01-0
EL-A;A-0-02;A-0-02-0
EL-A;A-0-03;A-0-03-0
EL-B;B-0-0;B-0-0-0
EL-B;B-0-01;B-0-01-0
EL-B;B-0-02;B-0-02-0
EL-B;B-0-03;B-0-03-0
EL-B;B-0-04;B-0-04-0
EL-C;C-0-0;C-0-0-0
EL-C;C-0-01;C-0-01-0
EL-C;C-0-02;C-0-02-0
EL-C;C-0-03;C-0-03-0
EL-D;D-0-0;D-0-0-0
EL-D;D-0-01;D-0-01-0
EL-D;D-0-02;D-0-02-0
EL-D;D-0-03;D-0-03-0
EL-E;E-0-0;E-0-0-0
EL-E;E-0-01;E-0-01-0
EL-E;E-0-02;E-0-02-0
EL-E;E-0-03;E-0-03-0
EL-E;E-0-04;E-0-04-0
EL-F;F-0-0;F-0-0-0
EL-F;F-0-01;F-0-01-0
EL-G;G-0-0;G-0-0-0
EL-G;G-0-01;G-0-01-0
FL-A;A-0-0;A-0-0-0
FL-A;A-0-01;A-0-01-0
FL-A;A-0-02;A-0-02-0
FL-A;A-0-03;A-0-03-0
FL-A;A-0-04;A-0-04-0
FL-A;A-0-05;A-0-05-0
FL-A;A-0-06;A-0-06-0
FL-A;A-0-07;A-0-07-0
FL-A;A-0-08;A-0-08-0
FL-A;A-0-09;A-0-09-0
FL-A;A-0-10;A-0-10-0
FL-B;B-0-0;B-0-0-0
FL-B;B-0-01;B-0-01-0
FL-C;C-0-0;C-0-0-0
FL-C;C-0-01;C-0-01-0
FL-C;C-0-02;C-0-02-0
FL-C;C-0-03;C-0-03-0
FL-C;C-0-04;C-0-04-0
FL-C;C-0-05;C-0-05-0
FL-D;D-0-0;D-0-0-0
FL-D;D-0-11;D-0-11-0
FL-D;D-0-01;D-0-01-0
FL-D;D-0-02;D-0-02-0
FL-D;D-0-03;D-0-03-0
FL-D;D-0-04;D-0-04-0
FL-D;D-0-05;D-0-05-0
FL-D;D-0-06;D-0-06-0
FL-D;D-0-07;D-0-07-0
FL-D;D-0-08;D-0-08-0
FL-D;D-0-09;D-0-09-0
FL-D;D-0-10;D-0-10-0
FL-E;E-0-0;E-0-0-0
FL-E;E-0-01;E-0-01-0
FL-E;E-0-02;E-0-02-0
FL-E;E-0-03;E-0-03-0
FL-E;E-0-04;E-0-04-0
FL-F;F-0-0;F-0-0-0
FL-F;F-0-01;F-0-01-0
FL-F;F-0-02;F-0-02-0
FL-F;F-0-03;F-0-03-0
FL-F;F-0-04;F-0-04-0
FL-F;F-0-05;F-0-05-0
FL-F;F-0-06;F-0-06-0
FL-G;G-0-0;G-0-0-0
FL-G;G-0-01;G-0-01-0
FL-G;G-0-02;G-0-02-0
FL-G;G-0-03;G-0-03-0
FL-G;G-0-04;G-0-04-0
FL-G;G-0-05;G-0-05-0
FL-G;G-0-06;G-0-06-0
FL-G;G-0-07;G-0-07-0
FL-G;G-0-08;G-0-08-0
FL-H;H-0-0;H-0-0-0
FL-H;H-0-11;H-0-11-0
FL-H;H-0-12;H-0-12-0
FL-H;H-0-13;H-0-13-0
FL-H;H-0-14;H-0-14-0
FL-H;H-0-15;H-0-15-0
FL-H;H-0-16;H-0-16-0
FL-H;H-0-17;H-0-17-0
FL-H;H-0-18;H-0-18-0
FL-H;H-0-19;H-0-19-0
FL-H;H-0-20;H-0-20-0
FL-H;H-0-21;H-0-21-0
FL-H;H-0-22;H-0-22-0
FL-H;H-0-23;H-0-23-0
FL-H;H-0-24;H-0-24-0
FL-H;H-0-25;H-0-25-0
FL-H;H-0-26;H-0-26-0
FL-H;H-0-27;H-0-27-0
