M005-kode;grunntype_kode
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;I-0-03-026
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;I-0-03-027
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;I-0-03-028
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;I-0-03-029
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;I-0-03-030
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;I-0-03-031
NiN-3.0-T-C-PE-NA-MB-MA01-M005-03;I-0-03-032
NiN-3.0-T-C-PE-NA-MB-MA01-M005-03;I-0-03-033
NiN-3.0-T-C-PE-NA-MB-MA01-M005-03;I-0-03-034
NiN-3.0-T-C-PE-NA-MB-MA01-M005-04;I-0-03-035
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;I-0-03-036
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;K-0---0
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;K-0-01-0
NiN-3.0-T-C-PE-NA-MB-MA02-M005-01;K-0-02-002
NiN-3.0-T-C-PE-NA-MB-MA02-M005-02;K-0-02-003
NiN-3.0-T-C-PE-NA-MB-MA02-M005-03;K-0-02-004
NiN-3.0-T-C-PE-NA-MB-MA02-M005-04;K-0-02-005
NiN-3.0-T-C-PE-NA-MB-MA02-M005-05;K-0-02-006
NiN-3.0-T-C-PE-NA-MB-MA02-M005-06;K-0-02-007
NiN-3.0-T-C-PE-NA-MB-MA02-M005-07;K-0-02-008
NiN-3.0-T-C-PE-NA-MB-MA02-M005-08;K-0-02-009
NiN-3.0-T-C-PE-NA-MB-MA02-M005-09;K-0-02-010
NiN-3.0-T-C-PE-NA-MB-MA02-M005-10;K-0-02-011
NiN-3.0-T-C-PE-NA-MB-MA02-M005-11;K-0-02-012
NiN-3.0-T-C-PE-NA-MB-MA02-M005-01;K-0-02-013
NiN-3.0-T-C-PE-NA-MB-MA02-M005-09;K-0-02-014
NiN-3.0-T-C-PE-NA-MB-MA02-M005-12;K-0-02-018
NiN-3.0-T-C-PE-NA-MB-MA02-M005-13;K-0-02-019
NiN-3.0-T-C-PE-NA-MB-MA02-M005-14;K-0-02-020
NiN-3.0-T-C-PE-NA-MB-MA03-M005-01;K-0-02-023
NiN-3.0-T-C-PE-NA-MB-MA03-M005-02;K-0-02-024
NiN-3.0-T-C-PE-NA-MB-MA03-M005-03;K-0-02-025
NiN-3.0-T-C-PE-NA-MB-MA03-M005-04;K-0-02-026
NiN-3.0-T-C-PE-NA-MB-MA03-M005-05;K-0-03-0
NiN-3.0-T-C-PE-NA-MB-MA03-M005-06;K-0-03-001
