M005-kode;HTKode
NiN-3.0-T-C-PE-NA-MB-IA01-M005-01;I-A-01
NiN-3.0-T-C-PE-NA-MB-IA01-M005-02;I-A-01
NiN-3.0-T-C-PE-NA-MB-IA01-M005-03;I-A-01
NiN-3.0-T-C-PE-NA-MB-IA01-M005-04;I-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-01;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-02;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-03;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-04;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-05;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-06;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-07;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-08;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-09;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-10;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-11;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-12;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-13;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA02-M005-01;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-02;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-03;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-04;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-05;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-06;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-07;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-08;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-09;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-10;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-11;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-12;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-13;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-14;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-15;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA03-M005-01;L-A-03
NiN-3.0-T-C-PE-NA-MB-LA03-M005-02;L-A-03
NiN-3.0-T-C-PE-NA-MB-LA03-M005-03;L-A-03
NiN-3.0-T-C-PE-NA-MB-LA03-M005-04;L-A-03
NiN-3.0-T-C-PE-NA-MB-LB01-M005-01;L-B-01
NiN-3.0-T-C-PE-NA-MB-LB01-M005-02;L-B-01
NiN-3.0-T-C-PE-NA-MB-LB01-M005-03;L-B-01
NiN-3.0-T-C-PE-NA-MB-LB02-M005-01;L-B-02
NiN-3.0-T-C-PE-NA-MB-LB02-M005-02;L-B-02
NiN-3.0-T-C-PE-NA-MB-LB02-M005-03;L-B-02
NiN-3.0-T-C-PE-NA-MB-LC01-M005-01;L-C-01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-02;L-C-01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-03;L-C-01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-04;L-C-01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-05;L-C-01
NiN-3.0-T-C-PE-NA-MB-LC02-M005-01;L-C-02
NiN-3.0-T-C-PE-NA-MB-LC02-M005-02;L-C-02
NiN-3.0-T-C-PE-NA-MB-LC02-M005-03;L-C-02
NiN-3.0-T-C-PE-NA-MB-LC02-M005-04;L-C-02
NiN-3.0-T-C-PE-NA-MB-LC03-M005-01;L-C-03
NiN-3.0-T-C-PE-NA-MB-LC03-M005-02;L-C-03
NiN-3.0-T-C-PE-NA-MB-LC04-M005-01;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC04-M005-02;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC04-M005-03;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC04-M005-04;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC04-M005-05;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC04-M005-06;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC04-M005-07;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC05-M005-01;L-C-05
NiN-3.0-T-C-PE-NA-MB-LC05-M005-02;L-C-05
NiN-3.0-T-C-PE-NA-MB-LC06-M005-01;L-C-06
NiN-3.0-T-C-PE-NA-MB-LC06-M005-02;L-C-06
NiN-3.0-T-C-PE-NA-MB-LG01-M005-01;L-G-01
NiN-3.0-T-C-PE-NA-MB-LJ01-M005-01;L-J-01
NiN-3.0-T-C-PE-NA-MB-LM01-M005-01;L-M-01
NiN-3.0-T-C-PE-NA-MB-LM01-M005-02;L-M-01
NiN-3.0-T-C-PE-NA-MB-LM01-M005-03;L-M-01
NiN-3.0-T-C-PE-NA-MB-LM01-M005-04;L-M-01
NiN-3.0-T-C-PE-NA-MB-LM01-M005-05;L-M-01
NiN-3.0-T-C-PE-NA-MB-LM02-M005-01;L-M-02
NiN-3.0-T-C-PE-NA-MB-LM02-M005-02;L-M-02
NiN-3.0-T-C-PE-NA-MB-LM03-M005-01;L-M-03
NiN-3.0-T-C-PE-NA-MB-LM03-M005-02;L-M-03
NiN-3.0-T-C-PE-NA-MB-LM04-M005-01;L-M-04
NiN-3.0-T-C-PE-NA-MB-LM04-M005-02;L-M-04
NiN-3.0-T-C-PE-NA-MB-LM04-M005-03;L-M-04
NiN-3.0-T-C-PE-NA-MB-LM05-M005-01;L-M-05
NiN-3.0-T-C-PE-NA-MB-LM05-M005-02;L-M-05
NiN-3.0-T-C-PE-NA-MB-LM05-M005-03;L-M-05
NiN-3.0-T-C-PE-NA-MB-LM05-M005-04;L-M-05
NiN-3.0-T-C-PE-NA-MB-MA01-M005-01;M-A-01
NiN-3.0-T-C-PE-NA-MB-MA01-M005-02;M-A-01
NiN-3.0-T-C-PE-NA-MB-MA01-M005-03;M-A-01
NiN-3.0-T-C-PE-NA-MB-MA01-M005-04;M-A-01
NiN-3.0-T-C-PE-NA-MB-MA02-M005-01;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-02;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-03;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-04;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-05;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-06;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-07;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-08;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-09;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-10;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-11;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-12;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-13;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M005-14;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA03-M005-01;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-02;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-03;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-04;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-05;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-06;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-07;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-08;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-09;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-10;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M005-11;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA04-M005-01;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-02;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-03;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-04;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-05;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-06;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-07;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-08;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-09;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-10;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M005-11;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA05-M005-01;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-02;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-03;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-04;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-05;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-06;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-07;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-08;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-09;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-10;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-11;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-12;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-13;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-14;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-15;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA06-M005-01;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-02;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-03;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-04;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-05;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-06;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-07;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-08;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-09;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-10;M-A-06
