M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-IA01-M020-01;varig snø og breoverflate
NiN-3.0-T-C-PE-NA-MB-IA01-M020-02;polar havis-overside
NiN-3.0-T-C-PE-NA-MB-LA01-M020-01;svært kalkfattig fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M020-02;noe kalkfattig fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M020-03;moderat kalkrik fast strandkant-innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LA01-M020-04;svært kalkrik fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M020-05;turbid eufotisk fast innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA02-M020-01;svært kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M020-02;noe kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M020-03;kalkfattig innsjø-sedimentbunn av blokker i strandkant og karplantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M020-04;moderat kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M020-05;svært kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M020-06;kalkrik innsjø-sedimentbunn av leire i strandkant og karplantebelte
NiN-3.0-T-C-PE-NA-MB-LA02-M020-07;kalkrik innsjø-sedimentbunn av blokker i strandkant og karplantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M020-08;turbid innsjø-sedimentbunn
NiN-3.0-T-C-PE-NA-MB-LA03-M020-01;svært kalkfattig afotisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA03-M020-02;noe kalkfattig afotisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA03-M020-03;kalkrik afotisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LB01-M020-01;kalkfattig helofytt-ferskvannssump
NiN-3.0-T-C-PE-NA-MB-LB01-M020-02;moderat kalkrik helofytt-ferskvannssump
NiN-3.0-T-C-PE-NA-MB-LB01-M020-03;svært kalkrik helofytt-ferskvannssump
NiN-3.0-T-C-PE-NA-MB-LB02-M020-01;kalkfattig undervannseng i innsjø
NiN-3.0-T-C-PE-NA-MB-LB02-M020-02;moderat kalkrik undervannseng i innsjø
NiN-3.0-T-C-PE-NA-MB-LB02-M020-03;svært kalkrik undervannseng i innsjø
NiN-3.0-T-C-PE-NA-MB-LC01-M020-01;kalkfattig flarkgjøl-bunn på fast torv 
NiN-3.0-T-C-PE-NA-MB-LC01-M020-02;kalkrik flarkgjøl-bunn på fast torv 
NiN-3.0-T-C-PE-NA-MB-LC01-M020-03;høljegjøl-bunn på fast torv 
NiN-3.0-T-C-PE-NA-MB-LC02-M020-01;svært kalkfattig innsjøbunn av dy og gytje
NiN-3.0-T-C-PE-NA-MB-LC02-M020-02;noe kalkfattig innsjøbunn av dy og gytje
NiN-3.0-T-C-PE-NA-MB-LC02-M020-03;moderat kalkrik innsjøbunn av dy og gytje
NiN-3.0-T-C-PE-NA-MB-LC02-M020-04;svært kalkrik innsjøbunn av dy og gytje
NiN-3.0-T-C-PE-NA-MB-LC03-M020-01;kalkfattig innsjøbunn av grovt organisk materiale
NiN-3.0-T-C-PE-NA-MB-LC03-M020-02;kalkrik innsjøbunn av grovt organisk materiale
NiN-3.0-T-C-PE-NA-MB-LC04-M020-01;innsjøbunn med periodisk oksygenmangel
NiN-3.0-T-C-PE-NA-MB-LC04-M020-02;anoksisk innsjøbunn med gammelt havvann
NiN-3.0-T-C-PE-NA-MB-LC04-M020-03;anoksisk innsjøbunn betinget av saltholdig kildevann
NiN-3.0-T-C-PE-NA-MB-LC04-M020-04;anoksisk innsjøbunn betinget av jernholdig vann
NiN-3.0-T-C-PE-NA-MB-LC04-M020-05;anoksisk innsjøbunn betinget av kalkrikt vann
NiN-3.0-T-C-PE-NA-MB-LC04-M020-06;anoksisk innsjøbunn betinget av humusrikt vann
NiN-3.0-T-C-PE-NA-MB-LC04-M020-07;anoksisk innsjøbunn betinget av svovelrikt vann
NiN-3.0-T-C-PE-NA-MB-LC05-M020-01;breoverflate-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LC05-M020-02;havis-overflate-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LC06-M020-01;markert naturlig gjødslingspreget innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LC06-M020-02;svært sterkt og disruptivt naturlig gjødslingspreget innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LG01-M020-01;ny innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LJ01-M020-01;klart endret innsjøbunn preget av næringsstoff-overbelastning
NiN-3.0-T-C-PE-NA-MB-LM01-M020-01;sterkt endret ny fast eller syntetisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LM01-M020-02;kalkfattig ny innsjø-sedimentbunn
NiN-3.0-T-C-PE-NA-MB-LM01-M020-03;kalkrik ny innsjø-sedimentbunn 
NiN-3.0-T-C-PE-NA-MB-LM02-M020-01;kalkfattig ny innsjøbunn fra elvebunn
NiN-3.0-T-C-PE-NA-MB-LM02-M020-02;kalkrik ny innsjøbunn fra elvebunn
NiN-3.0-T-C-PE-NA-MB-LM03-M020-01;kalkfattig ny innsjøbunn fra våtmarkssystemer
NiN-3.0-T-C-PE-NA-MB-LM03-M020-02;kalkrik ny innsjøbunn fra våtmarkssystemer
NiN-3.0-T-C-PE-NA-MB-LM04-M020-01;kalkfattig kronisk fysisk forstyrret innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LM04-M020-02;kalkrik kronisk fysisk forstyrret innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LM04-M020-03;reguleringssone i innsjø
NiN-3.0-T-C-PE-NA-MB-LM05-M020-01;kronisk kjemisk påvirket innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LM05-M020-02;kronisk saltpåvirket innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LM05-M020-03;kronisk forsuret eller eutrofiert innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LM05-M020-04;kronisk forsuret fast innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-MA01-M020-01;beskyttet til moderat eksponert fast saltvanns-fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MA01-M020-02;ganske til ekstremt eksponert fast saltvanns-fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M020-01;beskyttet fast saltvannsbunn og bergvegg ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-02;moderat til ganske eksponert saltvannsbunn og bergvegg ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-03;svært til ekstremt eksponert fast saltvannsbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-04;beskyttet saltvannsbunn og bergvegg i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-05;moderat til ganske eksponert fast saltvannsbunn og bergvegg i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-06;moderat til ganske eksponert saltvanns-fastbunn med store hulrom ovenfor rødalgebeltet
