Kortkode;Måleskala;Trinn/klassebetegnelse;trinn
RM-NH;SI;Grønlandshavet øst og Norskehavet nord;NH-A
RM-NH;SI;Barentshavet og Polhavet;NH-B
RM-PI;SI;uten iskantkontakt;PI-0
RM-PI;SI;iskantkontaktsonen;PI-A
RM-PI;SI;under polar havis;PI-B
RM-BA;SO;Norskehavet;BA-0
RM-BA;SO;Nordsjøen nord;BA-a
RM-BA;SO;Nordsjøen sør;BA-b
RM-BA;SO;Skagerrak vest;BA-c
RM-BA;SO;Skagerrak øst;BA-d
RM-BP;SO;uten isbrepreg;BP-0
RM-BP;SO;klart isbrepreget;BP-a
RM-BP;SO;sterkt isbrepreget;BP-b
RM-FF;SO;havvann uten ferskvannsinnflytelse;FF-0
RM-FF;SO;lite ferskvannspåvirket ytre fjord;FF-a
RM-FF;SO;moderat ferskvannspåvirket midtre fjord;FF-b
RM-FF;SO;klart ferskvannspåvirket indre fjord;FF-c
RM-FF;SO;sterkt ferskvannspåvirket indre fjord;FF-d
RM-IP;SO;uten innsjøpreg;IP-0
RM-IP;SO;noe innsjøpreget;IP-a
RM-IP;SO;klart innsjøpreget;IP-b
RM-IP;SO;sterkt innsjøpreget;IP-c
RM-KY;SO;med kystlinje;KY-0
RM-KY;SO;kystnær;KY-a
RM-KY;SO;innland;KY-b
RM-MS;SO;Nordsjøen og Skagerrak;MS-a
RM-MS;SO;Norskehavet sør;MS-b
RM-MS;SO;Norskehavet midt;MS-c
RM-MS;SO;Norskehavet nord og Barentshavet sør;MS-d
RM-MS;SO;Grønlandshavet øst, Barentshavet nord og Polhavet;MS-e
RM-SE;SO;sterkt oseanisk seksjon;SE-a
RM-SE;SO;klart oseanisk seksjon;SE-b
RM-SE;SO;svakt oseanisk seksjon;SE-c
RM-SE;SO;overgangsseksjon;SE-d
RM-SE;SO;svakt kontinental seksjon;SE-e
RM-SE;SO;klart kontinental seksjon;SE-f
RM-SO;SO;boreonemoral sone;SO-a
RM-SO;SO;sørboreal sone ;SO-b
RM-SO;SO;mellomboreal sone ;SO-c
RM-SO;SO;nordboreal sone;SO-d
RM-SO;SO;lavalpin sone;SO-e
RM-SO;SO;mellomalpin/mellomarktisk sone;SO-f
RM-SO;SO;nordalpin/nordarktisk sone;SO-g
RM-VE;SO;under skoggrensa;VE-a
RM-VE;SO;hei under skoggrensa;VE-b
RM-VE;SO;hei over skoggrensa;VE-c
RM-VE;SO;bart fjell over skoggrensa;VE-d
RM-VP;SO;uten våtmarkspreg;VP-0
RM-VP;SO;moderat våtmarkspreg;VP-a
RM-VP;SO;sterkt våtmarkspreg;VP-b
RM-YK;SO;svært skjermet indre kyst;YK-0
RM-YK;SO;skjermet indre kyst;YK-a
RM-YK;SO;middels eksponert kyst;YK-b
RM-YK;SO;eksponert ytre kyst;YK-c
RM-YK;SO;svært eksponert ytre kyst;YK-d
LM-BK;SI;ikke-avvikende;BK-0
LM-BK;SI;ultramafisk;BK-A
LM-BK;SI;jern-rik;BK-B
LM-BK;SI;kobber-rik;BK-C
LM-BK;SI;lava;BK-D
LM-DK;SI;jord eller blandet sediment;DK-0
LM-DK;SI;leire;DK-A
LM-DK;SI;silt;DK-B
LM-DK;SI;sand;DK-C
LM-DK;SI;grus;DK-D
LM-DK;SI;stein;DK-E
LM-DK;SI;blokk;DK-F
LM-DK;SI;stor blokk;DK-G
LM-DK;SI;kjempeblokk og fast fjell;DK-H
LM-FK;SI;ikke-avvikende;FK-0
LM-FK;SI;gammelt havvann;FK-A
LM-FK;SI;saltholdig kildevann;FK-B
LM-FK;SI;jernholdig vann;FK-C
LM-FK;SI;kalkrikt vann;FK-D
LM-FK;SI;humusrikt vann;FK-E
LM-FK;SI;svovelrikt vann;FK-F
LM-HV;SI;kystvann;HV-A
LM-HV;SI;atlantisk vann;HV-B
LM-HV;SI;intermediært vann;HV-C
LM-HV;SI;dyphavsvann;HV-D
LM-HV;SI;arktisk vann;HV-E
LM-HY;SI;mono- og dimiktiske vannmasser;HY-A
LM-HY;SI;polymiktiske vannmasser;HY-B
LM-IS;SI;havis-overside;IS-A
LM-IS;SI;havis-underside;IS-B
LM-IT;SI;uten isbunn;IT-0
LM-IT;SI;med isbunn;IT-A
LM-KT;SI;vann- og gassførende kald havkilde;KT-A
LM-KT;SI;mudderførende kald havkilde;KT-B
LM-LT;SI;løsmasser uten spesifisert opphav;LT-0
LM-LT;SI;stedegent forvitringsmateriale ;LT-A
LM-LT;SI;gamle breavsetninger;LT-B
LM-LT;SI;løsmasser formet av strandprosesser;LT-C
LM-LT;SI;resente breavsetninger;LT-D
LM-LT;SI;konsoliderte marine bresedimenter;LT-E
LM-LT;SI;massetransportert materiale;LT-F
LM-LT;SI;flomskredmateriale;LT-G
LM-OV;SI;ikke langvarig oversvømmelse;OV-0
LM-OV;SI;langvarig oversvømmelse, eventuelt også innfrysing i is;OV-A
LM-PF;SI;uten permafrost;PF-0
LM-PF;SI;permafrost med tynt aktivt lag;PF-A
LM-SN;SI;varig snø;SN-A
LM-SN;SI;jevn breoverflate;SN-B
LM-SN;SI;kryokonitt-preget breoverflate;SN-C
LM-SN;SI;polar havis-overside;SN-D
LM-SO;SI;uspesifiserte løsmasser;SO-0
LM-SO;SI;marine leirsedimenter;SO-A
LM-SO;SI;breslam-sedimenter;SO-B
LM-ST;SI;overveiende uorganisk substrat;ST-0
LM-ST;SI;skjellsand;ST-A
LM-ST;SI;ruglbunn;ST-B
LM-ST;SI;svampspikelbunn;ST-C
LM-ST;SI;korallgrus;ST-D
LM-ST;SI;myrtorv;ST-E
LM-ST;SI;dy og gyttje;ST-F
LM-ST;SI;grovt organisk materiale;ST-G
LM-ST;SI;konsolidert leire;ST-H
LM-ST;SI;fast bunn og bergsubstrat;ST-I
LM-ST;SI;driftmateriale;ST-J
LM-VT;SI;jordvann;VT-0
LM-VT;SI;innsjøvann;VT-A
LM-VT;SI;elvevann;VT-B
LM-VT;SI;nedbørvann;VT-C
LM-ED;SI;permanent vannførende;ED-K0
LM-ED;SI;semi-permanent vannførende;ED-K1
LM-ED;SI;oftest vannførende;ED-K2
LM-ED;SI;ofte vannførende, oftest med kulper ;ED-K3
LM-ED;SI;periodisk vannførende;ED-K4
LM-ED;SI;periodisk vannførende, med kulper;ED-K5
LM-ED;SI;tidvis vannførende;ED-K6
LM-ED;SI;episodisk vannførende, med kulper;ED-K7
LM-ED;SI;episodisk vannførende;ED-K8
LM-ED;SI;tørrlagt;ED-KY
LM-EF;SI;ujevn, uregelmessig lengdeprofil;EF-K1
LM-EF;SI;lengdeprofil med repeterende strukturer;EF-K2
LM-EF;SI;jevn lengdeprofil;EF-K3
LM-EL;SI;kaskade;EL-K1
LM-EL;SI;trappetrinn;EL-K2
LM-EL;SI;jevn sedimentbunn;EL-K3
LM-EL;SI;kulp-stryk med tverrbanker;EL-K4
LM-EL;SI;kulp-stryk med alternerende sidebanker;EL-K5
LM-EL;SI;fin bunn med eller uten temporære mikroformer ;EL-K6
LM-EL;SI;uten tydelig sedimentsortering og karakteristisk lengdeprofil;EL-KU
LM-EP;SI;enkel, rett eller bølgende;EP-K1
LM-EP;SI;enkel, meandrerende;EP-K2
LM-EP;SI;forgreinet, vandrende ;EP-K3
LM-EP;SI;forgrenet meandrerende;EP-K4
LM-EP;SI;forgreinet, ustabilt;EP-K5
LM-EP;SI;forgreinet, stabilt;EP-K6
LM-EP;SI;vifteformet;EP-K7
LM-ES;SI;fast fjell;ES-K0
LM-ES;SI;karstberg;ES-K1
LM-ES;SI;myrtorv;ES-K2
LM-ES;SI;rasmateriale;ES-K3
LM-ES;SI;morenemateriale ;ES-K4
LM-ES;SI;breelvavsetninger;ES-K5
LM-ES;SI;bresjøavsetninger;ES-K6
LM-ES;SI;elveavsetninger ;ES-K7
LM-ES;SI;havavsetninger;ES-K8
LM-ES;SI;andre eller uspesifiserte substrater;ES-KU
LM-ET;SI;fast fjell;ET-K0
LM-ET;SI;karstberg;ET-K1
LM-ET;SI;myrtorv;ET-K2
LM-ET;SI;rasmateriale;ET-K3
LM-ET;SI;morenemateriale;ET-K4
LM-ET;SI;breelvavsetninger;ET-K5
LM-ET;SI;bresjøavsetninger;ET-K6
LM-ET;SI;elveavsetninger;ET-K7
LM-ET;SI;havavsetninger;ET-K8
LM-ET;SI;andre eller uspesifiserte substrater;ET-KU
LM-AN;SO;ingen;AN-0
LM-AN;SO;moderat næringstilførselsreduksjon;AN-a
LM-AN;SO;sterk næringstilførselsreduksjon;AN-b
LM-BU;SO;glatt;BU-0
LM-BU;SO;ru;BU-a
LM-BU;SO;svært ru;BU-b
LM-BU;SO;små hulrom;BU-c
LM-BU;SO;store hulrom;BU-y
LM-DA;SO;øvre profundal;DA-0
LM-DA;SO;midtre profundal;DA-a
LM-DA;SO;nedre profundal;DA-y
LM-DL;SO;øvre sjøkantbelte / øvre strandkantbelte;DL-0
LM-DL;SO;nedre sjøkantbelte / nedre strandkantbelte;DL-a
LM-DL;SO;sjøkantnær sublittoral / øvre karplantebelte;DL-b
LM-DL;SO;øvre sublittoral / nedre karplantebelte;DL-c
LM-DL;SO;midtre sublittoral / øvre mosebelte;DL-d
