Ecosystnivå;Typekategori;Typekategori2;Hovedtypegruppe;Typekode
A;LV;BM;A;A-LV-BM
A;LV;EL;A;A-LV-EL
A;LV;EL;B;A-LV-EL
A;LV;EL;C;A-LV-EL
A;LV;EL;D;A-LV-EL
A;LV;EL;E;A-LV-EL
A;LV;EL;F;A-LV-EL
A;LV;EL;G;A-LV-EL
A;LV;FL;A;A-LV-FL
A;LV;FL;B;A-LV-FL
A;LV;FL;C;A-LV-FL
A;LV;FL;D;A-LV-FL
A;LV;FL;E;A-LV-FL
A;LV;FL;F;A-LV-FL
A;LV;FL;G;A-LV-FL
A;LV;FL;H;A-LV-FL
A;LV;FL;I;A-LV-FL
A;LV;FL;J;A-LV-FL
A;LV;FL;K;A-LV-FL
A;LV;FL;L;A-LV-FL
A;LV;FL;M;A-LV-FL
A;LV;FL;N;A-LV-FL
A;LV;FL;O;A-LV-FL
A;LV;FL;P;A-LV-FL
A;LV;IB;A;A-LV-IB
A;LV;IB;B;A-LV-IB
A;LV;IB;C;A-LV-IB
A;LV;IB;D;A-LV-IB
A;LV;IB;E;A-LV-IB
A;LV;IB;F;A-LV-IB
A;LV;IB;G;A-LV-IB
A;LV;IB;H;A-LV-IB
A;LV;IB;I;A-LV-IB
A;LV;IB;J;A-LV-IB
A;LV;IB;K;A-LV-IB
A;LV;IB;L;A-LV-IB
A;LV;IB;M;A-LV-IB
A;LV;IB;N;A-LV-IB
A;LV;TM;A;A-LV-TM
A;LV;TM;B;A-LV-TM
A;LV;TM;C;A-LV-TM
A;LV;TM;D;A-LV-TM
A;LV;TM;E;A-LV-TM
A;LV;TM;F;A-LV-TM
A;LV;TM;G;A-LV-TM
A;LV;TM;H;A-LV-TM
A;MV;0;A;A-MV-0
A;MV;0;B;A-MV-0
C;LI;0;FS;C-LI-0
C;LI;0;FU;C-LI-0
C;LI;0;MS;C-LI-0
C;LI;0;MU;C-LI-0
C;LI;0;TS;C-LI-0
C;LI;0;TU;C-LI-0
C;LI;0;U;C-LI-0
C;PE;LA;I;C-PE-LA
C;PE;LA;K;C-PE-LA
C;PE;LA;M;C-PE-LA
C;PE;NA;F;C-PE-NA
C;PE;NA;I;C-PE-NA
C;PE;NA;L;C-PE-NA
C;PE;NA;M;C-PE-NA
C;PE;NA;O;C-PE-NA
C;PE;NA;S;C-PE-NA
C;PE;NA;T;C-PE-NA
C;PE;NA;V;C-PE-NA
C;SE;NK;0;C-SE-NK
C;SE;NK;C;C-SE-NK
C;SE;NK;D;C-SE-NK
C;SE;NK;E;C-SE-NK
