Typekategori2;11 GT;Grunntypenavn;Kode
NA;01;svært og temmelig beskyttet fast saltvannsbunn;NA-01
NA;02;sagtangbunn;NA-02
NA;03;fingertareskog;NA-03
NA;04;fast bunn med filamentøse alger;NA-04
NA;05;sukkertareskog;NA-05
NA;06;stortareskog;NA-06
NA;07;butareskog;NA-07
NA;08;svært eksponert fast bunn;NA-08
NA;09;beskyttet rødalgebunn;NA-09
NA;10;eksponert rødalgebunn;NA-10
NA;11;eksponert rødalgebunn;NA-11
NA;12;beskyttet vegg ovenfor rødalgebeltet;NA-12
NA;13;beskyttet vegg i rødalgebeltet;NA-13
NA;14;moderat eksponert vegg ovenfor rødalgebeltet;NA-14
NA;15;moderat eksponert vegg i rødalgebeltet;NA-15
NA;16;eksponert vegg;NA-16
NA;17;moderat eksponert fast bunn med store hulrom ovenfor rødalgebeltet;NA-17
NA;18;moderat eksponert fast bunn med store hulrom i rødalgebeltet;NA-18
NA;19;eksponert fast bunn med store hulrom;NA-19
NA;20;fast bunn preget av disruptiv isforstyrrelse;NA-20
NA;01;grisetang-bunn;NA-01
NA;02;grønnalge-spiraltangbunn;NA-02
NA;03;grønnalge-rurbunn;NA-03
NA;04;blæretang-bunn;NA-04
NA;05;spiraltang-bunn;NA-05
NA;06;sauetang-blåskjell-rurbunn;NA-06
NA;07;remtang-bunn;NA-07
NA;08;strandsnegl-blåskjellbunn;NA-08
NA;09;strandsnegl-blåskjell-rurbunn;NA-09
NA;10;bunn dominert av filamentøse alger;NA-10
NA;01;lurvbunn i brakkvann;NA-01
NA;02;brakkvannsparallell til sagtangbunn;NA-02
NA;03;brakkvannsparallell til fingertareskog;NA-03
NA;04;brakkvannsparallell til sukkertareskog;NA-04
NA;05;brakkvannsparallell til stortareskog;NA-05
NA;06;brakkvannsparallell til rødalgebunn;NA-06
NA;07;lurvbunn i svært brakt vann;NA-07
NA;08;moderat eksponert fast bunn i svært brakt vann;NA-08
NA;09;beskyttet vegg i brakkvann;NA-09
NA;10;moderat eksponert vegg i brakkvann ovenfor rødalgebeltet;NA-10
NA;11;moderat eksponert vegg i brakkvann i rødalgebeltet;NA-11
NA;12;vegg i svært brakt vann;NA-12
NA;13;fast bunn preget av disruptiv isforstyrrelse;NA-13
NA;01;embryonal- og primærdyne;NA-01
NA;02;kvit dyne;NA-02
NA;03;grå dyne;NA-03
NA;04;brun dyne;NA-04
NA;05;dynehei;NA-05
NA;06;primær og kvit innlandsdyne;NA-06
NA;07;grå og brun innlandsdyne;NA-07
NA;08;erodert dyne;NA-08
NA;09;dynetrau;NA-09
NA;01;leir- og siltskred;NA-01
NA;02;sandskred;NA-02
NA;03;grusskred;NA-03
NA;01;beskyttet (høgurt-)driftvoll;NA-01
NA;02;litt eksponert (lågurt-)driftvoll;NA-02
NA;03;eksponert (ettårs-)driftvoll;NA-03
NA;04;vegetasjonsfri driftvoll;NA-04
NA;05;brakkvannsdriftvoll;NA-05
NA;01;sandskogsmark;NA-01
NA;02;dyneskogsmark;NA-02
0;01;hardbunn i marine systemer;0-01
0;01;på bløtbunn i marine systemer;0-01
0;02;i bløtbunn i marine systemer;0-02
0;01;på biogene karbonatsubstrater fra døde organismer;0-01
0;02;i biogene karbonatsubstrater fra døde organismer;0-02
0;01;nærmiljørundt levende steinkoraller;0-01
0;02;nærmiljø rundt andre organismer med kalkskall enn steinkoraller;0-02
0;03;kalkskall på levende organismer med karbonatsubstrater;0-03
0;04;indre vev i steinkoraller;0-04
0;05;indre vev i andre fastsittende organismer enn steinkoraller;0-05
0;06;indre vev i bevegelige organismer med kalkskall;0-06
0;01;på marine alger;0-01
0;02;i marine alger;0-02
0;03;på marine karplanter;0-03
0;04;i marine karplanter;0-04
0;01;ytre vev hos marine vertebrater;0-01
0;02;indre vev hos marine vertebrater;0-02
0;03;ytre vev hos marine invertebrater uten kalkskjelett;0-03
0;04;indre vev hos marine invertebrater uten kalkskjelett;0-04
0;01;vedrester;0-01
0;02;dødt plantemateriale i marine systemer;0-02
0;01;døde dyr i marine systemer;0-01
0;01;syntetiske livsmedier i marine systemer;0-01
0;01;substratfrie livsmedier i marine systemer;0-01
0;01;hardbunn i ferskvann;0-01
0;01;på bløtbunn i ferskvann;0-01
