Hovedtype;Prosedyrekategori;Hovedtypegruppe;Hovedtypenavn;Kode
0;0;F;-;0-0-F
0;0;FS;-;0-0-FS
0;0;FU;-;0-0-FU
0;0;I;-;0-0-I
0;0;L;-;0-0-L
0;0;M;-;0-0-M
0;0;MS;-;0-0-MS
0;0;MU;-;0-0-MU
0;0;O;-;0-0-O
0;0;S;-;0-0-S
0;0;T;-;0-0-T
0;0;TS;-;0-0-TS
0;0;TU;-;0-0-TU
0;0;V;-;0-0-V
9;0;I;basseng med terskel av elvetransportert ved og annet organisk materiale;9-0-I
10;0;TS;dødt animalsk materiale;10-0-TS
10;C;M;polar havis-underside;10-C-M
11;0;D;elvevoll;11-0-D
11;0;H;grunningssonekile;11-0-H
11;0;I;tidevannsslette;11-0-I
11;0;TS;dyremøkk og fuglegjødsel;11-0-TS
12;0;H;hengende dal;12-0-H
12;0;I;tombolo;12-0-I
12;0;TS;syntetiske livsmedier på land;12-0-TS
13;0;H;isfjellgrop;13-0-H
14;0;H;iskjernemorene;14-0-H
15;0;H;isfjellpløyespor;15-0-H
16;0;H;isskuringsstripe;16-0-H
17;0;H;jettegryte;17-0-H
18;0;H;knaus og hale;18-0-H
19;0;H;megaskala glasial lineasjon;19-0-H
20;0;H;morenehaug;20-0-H
21;0;H;murtoo;21-0-H
22;0;H;P-form;22-0-H
23;0;H;randmorene;23-0-H
24;0;H;rogenmorene;24-0-H
25;0;H;rundsva;25-0-H
26;0;H;sprekkefyllerygg;26-0-H
27;0;H;tind;27-0-H
28;0;H;traumunningsvifte;28-0-H
29;0;H;U-dal;29-0-H
30;0;H;veikimorene;30-0-H
-;0;I;-;--0-I
-;0;K;-;--0-K
-;0;M;-;--0-M
-;-;-;-;-----
01;0;A;basseng i avsnørt havbukt;01-0-A
01;0;A;breelvdelta;01-0-A
01;0;A;brekappe (platåbra);01-0-A
01;0;A;elveløp i fast fjell med foss;01-0-A
01;0;A;gjenvoksningsmyr;01-0-A
01;0;A;kystvann;01-0-A
01;0;B;jord- og steinskredbasseng;01-0-B
01;0;B;korallrev;01-0-B
01;0;B;slakmyr;01-0-B
01;0;B;stein- og blokkdominert elveløp med kaskade- eller trappetrinnsmorfologi (cascade and step-pool);01-0-B
01;0;B;tidevannsbetinget fullsirkulerende fjordvann;01-0-B
01;0;C;basseng på bre;01-0-C
01;0;C;flomkanal fra bresjøtapping;01-0-C
